,Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
975,2015,08/20/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Cloudy,Rockin Virtue,SCOTT A. MONGEON,JAMES J. DEVAUX,Rockin Virtue-Tr. Scott Mongeon-prior to race horse experienced lameness LF leg-scratched,Steward's List
976,2015,08/16/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),Main Track at wire,Training,Thoroughbred, ,Big Looie,DAVID JACOBSON, ,Big Looie-Tr. David Jacobson-sustained injury while breezing-xray revealed fx both LF sesamoids-euthanized,Equine Death
977,2015,08/14/2015,FALL OF HORSE,Tioga Downs,Schooling behind gate,Training,Harness,Clear,Trotamundo, ,VERNON T. SMITH,Trotamundo-Tr. Guy Howard-horse choked down  bounced off fence & fell unseating driver Vern Smith-no apparent injuries to horse or driver, 
978,2015,08/14/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),After start,Racing,Thoroughbred,80* Cloudy,On a Snowy Evening,ABIGAIL C. ADSIT,FERNANDO JARA,On a Snowy Evening-Tr. Abigail C. Adsit-pulled up-fx LF sesamoid-sedated-splinted-ambulanced off-euthanized (Cross Ref. with 378.15),Equine Death
979,2015,08/13/2015,FALL OF HORSE,Saratoga Racecourse (NYRA),9th hurdle,Racing,Thoroughbred, ,Bau Bai Gold,JASMINE NAPRAVNIK,ROSS GERAGHTY,Bau Bai Gold-Tr. Jasmine Napravnik-fell after going over hurdle unseating jockey Ross Geraghty-horse and rider fine,Accident
980,2015,08/13/2015,FALL OF HORSE,Saratoga Racecourse (NYRA),3rd hurdle,Racing,Thoroughbred, ,All That Rules,THOMAS  (CYRIL) C. MURPHY,JACK DOYLE,All That Rules-Tr. Cyril Murphy-fell after going over hurdle unseating jockey Jack Doyle-both horse and rider fine,Accident
981,2015,08/12/2015,RACING INCIDENT,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,82* Partly Cloudy,Micromanage,TODD A. PLETCHER,JAVIER J. CASTELLANO,Micromanage-Tr. Todd Pletcher-eased thru stretch-retired to stud, 
982,2015,08/09/2015,EQUINE DEATH,Batavia Downs,Batavia Downs,Training,Harness,Sunny and clear,It's All Your Fault,MARC W. BOURGON,MARC W. BOURGON,It's All Your Fault-Tr. Mark Bourgon-took bad step-ambulanced off-fx LR leg-euthanized,Equine Death
983,2015,08/08/2015,RACING INCIDENT,Tioga Downs,prior to start,Racing,Harness,Clear,Jaxteller,JAMES H. CRUISE JR,TYLER S. FREESE,Jaxteller-Tr. Jimmy Cruise  Jr.-broken line -scratched-vet check reveal no injuries to horse-all wagers refunded, 
984,2015,08/08/2015,FALL OF RIDER,Finger Lakes Gaming & Racetrack,At the start,Racing,Thoroughbred, ,Battle Notes,RALPH D'ALESSANDRO,HECTOR BERRIOS,Battle Notes-Tr. Ralph D'Alessandro-stumbled-unseating Jockey Hector Berrios-vet check revealed no injuries to horse-Berrios ambulanced off,Accident
985,2015,08/07/2015,RACING INCIDENT,Saratoga Racecourse (NYRA),Vicinity of 1/4 pole,Racing,Thoroughbred,Clear,Eddy's Time,PATRICK J. QUICK,FERNANDO JARA,Eddy's Time-Tr. Patrick Quick-pulled up-vanned off-Horse retired, 
986,2015,08/07/2015,RACING INJURY,Saratoga Racecourse (NYRA),3/8 pole,Training,Thoroughbred,80* Clear,Vinegar Joe,LINDA L. RICE,JOSE L. ORTIZ,Vinegar Joe-Tr. Linda Rice-eased up-ambulanced off-vet exam revealed the horse bled, 
987,2015,08/06/2015,RACING INJURY,Saratoga Racecourse (NYRA),After finish 3/4 pole,Racing,Thoroughbred,80* Partly cloudy,Mighty Katherine,IAN R. WILKES,ERIC CANCEL,Mighty Katherine-Tr. Ian Wilkes-rose up-stumbled-pulled up-ambulanced off-sustained cut to chest-stabilized-transported to Rood & Riddle clinic for further treatment-horse retired,Injury
988,2015,08/05/2015,FALL OF HORSE,Saratoga Racecourse (NYRA),7th fence,Racing,Thoroughbred,80* Partly cloudy,Powerofone,JONATHAN E. SHEPPARD,KIERAN S. NORRIS,Powerofone-Tr. Jonathan Sheppard-fell unseating rider Kieran Norris-horse ambulanced off-neither horse nor rider sustained any injuries-horse back in training to race soon,Accident
989,2015,08/05/2015,RACING INJURY,Saratoga Gaming & Raceway,After Race,Racing,Harness,Clear,Spicey Victor,MARGARET E. SPAGNOLA,JAMES J. DEVAUX,Spicey Victor-Tr. Margaret Spagnola-clipped own heel causing laceration to RF heel-to be rested at least 4 months,Injury
990,2015,08/02/2015,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,Clear,Renown,GEORGE R. ARNOLD II,KENDRICK CARMOUCHE,Renown-Tr. George Arnold-eased in stretch-vanned off-laceration bandaged-may resume training in 10-14 days,Steward's List
991,2015,08/01/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),Main Track,Training,Thoroughbred,Clear,Jackson N Leonard,DANNY A. GARGAN, ,Jackson N Leonard-Tr. Danny Gargan-fractured LF sesamoids breezing on the Main Track-ambulanced off-euthanized,Equine Death
992,2015,08/01/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),Oklahoma Training Track,Training,Thoroughbred,Clear,Kathy's Reward,GARY C. CONTESSA, ,Kathy's Reward - Tr. Gary Contessa-fractured LF cannon bone while breezing-euthanized on track,Injury
