,Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
1596,2013,12/22/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred,40* Clear,Golden Maria,LEROY S. JOLLEY JR,PHILLIP A. TEATOR,Golden  Maria-Tr. Leroy Jolley  Jr.-stumbled and blew turn-eased in stretch-walked off track-no injuries reported-must requalify, 
1597,2013,12/19/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,45* Clear,Blossom's Trail,RAINDRANAUTH PERSAUD,JOSE L. ORTIZ,Blossom's Trail-Tr.Randi Persaud-pulled up-ambulanced off-bled-out 30 days-must requalify, 
1598,2013,12/18/2013,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/2 mile pole,Racing,Thoroughbred,30* clear,Driven by Solar,JOHN T. TOSCANO JR,MANUEL FRANCO,Driven by Solar-Tr.John Toscano Jr.-pulled up-FX L Front sesamoids-euthanized on the track,Equine Death
1599,2013,12/15/2013,EQUINE DEATH,Belmont Park (NYRA),Barn #                                                                                                                                                                       Barn # 41,Non-Racing,Thoroughbred, ,Bailey's Dilemma,LEO O'BRIEN, ,Bailey's Dilemma-Tr. Leo O'Brien-euthanized for Pleuropneumonia.,Equine Death
1600,2013,12/14/2013,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Training,Thoroughbred, ,Frau Louise,CHANDRADAT GOBERDHAN, ,Frau Louise-Tr. C. Goberdhan-broke from gate-ducked in-impaled on rail-severe trauma-euthanized,Equine Death
1601,2013,12/13/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Finish,Racing,Thoroughbred,308 Clear,Good Guy Mike,NICHOLAS P. ZITO,ANGEL S. SAEZ-ARROYO,Good Guy Mike-Tr.Nick Zito-pulled up-ambulance off-claim voided-Bled,Steward's List
1602,2013,12/11/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred, ,Take the El Train,DAVID W. PRINE,CHARLES C. LOPEZ,Take The El Train-Tr. David Prine-pulled up-walked off track-trainers said horse was not fit enough for the pace- on vets list,Steward's List
1603,2013,12/10/2013,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,3/4 mi.,Racing,Harness,snow,Cosmic QI,MICHAEL TEMMING,BRUCE A. ALDRICH JR,COSMIC QI-Tr. Michael Temming-broke-fell in infield and died,Equine Death
1604,2013,12/10/2013,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Stretch,Racing,Harness,snow,BENNS SUPERMAN,ROBERT W. HARMON,JAMES MAROHN JR,Benns Superman-Trainer Rob Harmon-broke-pulled up at streach-fx LF pastern-ambulanced off-euthanized,Equine Death
1605,2013,12/06/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/4 Pole,Racing,Thoroughbred,Overcast,My Lovers Eyes,MICHAEL S. FERRARO,DAVID M. LOPEZ,My Lovers Eyes - Tr. M S Ferraro - broke R knee while switching leads - DNF - euthanized on track,Euthanasia
1606,2013,12/04/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred,59* Cloudy,Bundler,MARK A. HENNIG,JAVIER J. CASTELLANO,Bundler-Tr. Mark Hennig-eased inside-no reported injuries,Steward's List
1607,2013,12/03/2013,RACING INCIDENT,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Late Arrival,LUIS A. GUTIERREZ,RICHARD TORRES,Late Arrival-Tr Luis Gutierrez-bolted in 1st race-Jockey's R leg struck outside rail-sustained minor cut to leg-DNF-no injuries to horse, 
1608,2013,12/01/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred, ,Suilleabhain,RAINDRANAUTH PERSAUD,MALLORY STRANDBERG,Suilleabhain-Tr. Randi Persaud-eased instretch-walked off-no injuries reported,Steward's List
1609,2013,12/01/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Cold,Russ N Us,MICHAEL R. SIGNORE,MICHAEL R. SIGNORE,Russ N Us-Tr Michael Signore-vet check requested after warm-up-fund to be dull with cough and respiratory problem-scratched,Steward's List
1610,2013,12/01/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,46* Mostly Cloudy,Quiet Miracle,PEDRO J. GRANVILLE,MEN B. CHEN,Quiet Miracle-Tr.Pedro Granville-pulled up-ambulanced off-LF lameness-to be rested-must requalify,Steward's List
1611,2013,11/30/2013,EQUINE DEATH,Belmont Park (NYRA),Training Track 3/16 pole,Training,Thoroughbred,34* Partly Cloudy,Two Roses,NAIPAUL R. CHATTERPAUL, ,Two Roses-Tr. Niapaul Chatterpaul-suffered FX RF leg Cannon bone while breezing-euthanized on track,Equine Death
1612,2013,11/30/2013,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Training,Thoroughbred,358 Mostly Cloudy,Long Island Lee,RICHARD A. VIOLETTE JR, ,Long Island Lee-Tr. Richard Violette Jr-ambulanced back to barn after breezing-Xrays revealed spiral fx LF cannon-euthanized,Equine Death
1613,2013,11/29/2013,RACING INCIDENT,Finger Lakes Gaming & Racetrack,Starting Gate,Racing,Thoroughbred,Sunny/Cold,Wise Awak,MICHAEL (ANTHONY) A. FERRARO,PEDRO A. RODRIGUEZ,Wise Awake - Tr M A Ferraro - nose caught in gate bar at start-slow to exit-DNF-no injuries reported, 
1614,2013,11/26/2013,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,50* Cloudy,Flight of Fantasy,LEAH A. GYARMATI, ,Flight of Fantasy-Tr.Leah Gyarmati-suffered a possible fatal cardiovascular collapse while galloping,Equine Death
1615,2013,11/23/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Finish,Racing,Thoroughbred,45* Clear,Fiftyfour Forever,RAINDRANAUTH PERSAUD,GUILLERMO RODRIGUEZ,Fiftyfour Forever-Tr.Randi Persaud-pulled up-ambulanced off-vet check-xrays clean-mildly lame LF leg-must requalify,Lameness
1616,2013,11/23/2013,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred, ,Stonley The lonely,JOHN T. TOSCANO JR, ,Stonley The Lonely-Tr. J Toscano Jr-Took bad step while pulling up after breezing-FX RF leg-Euthanized,Euthanasia
1617,2013,11/22/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA), ,Unknown,Thoroughbred, ,Denn Piper,LESLIE W. HINDS,PHILLIP A. TEATOR,Denn Piper-Tr. Leslie Hinds-Pulled up at 1/4  pole-Walked off the track-horse ok-will work off for vet,Steward's List
1618,2013,11/22/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Tracy's Belle,JOHN C. KIMMEL,MANUEL FRANCO,Tracy's Belle-Tr. John Kimmel-Eased after racing for a half mile-Walked off track-horse ok,Steward's List
1619,2013,11/21/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred,50* Partly Cloudy,River Knight,EDMUND PRINGLE WHILBY,JERONIMO A. MOLINA  DUBON,River Knight - Tr.  Edmund Pringle - eased in the stretch - walk off the track under his own power-horse ok-got tired,Steward's List
1620,2013,11/21/2013,STEWARDS/VETS LIST,Yonkers Raceway,Finish,Racing,Harness, ,Aussie Reactor A,DARRAN F. CASSAR,ANDREW J. MCCARTHY,Aussie Reactor A - Tr. Darran Cassar - Pulled up at wire DNF- horse distressed possible a-fib must requalify,Steward's List
1621,2013,11/21/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred,45* Partly cloudy,Bit Bustin,GARY C. CONTESSA,LUIS SAEZ,Bit Bustin-Tr. Gary Contessa-eased-walked off-vet checked-horse sick-must requalify, 
1622,2013,11/20/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Finish,Racing,Thoroughbred,40* Partly Cloudy,Brandy's Big Guy,GABRIEL K. GOODWIN,MAYLAN L. STUDART,Brandy's Big Guy-Tr.Gabriel Goodwin-rough gaited-pulled up-ambulanced off-no injuries reported,Steward's List
1623,2013,11/20/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/16 pole,Racing,Thoroughbred,40* Partly cloudy,Ontheotherhand,CHRISTOPHER J. ENGLEHART,JOSE L. ORTIZ,Ontheotherhand-Tr.Christopher Englehart-eased-walked off track under own power-no injuries reported,Steward's List
1624,2013,11/19/2013,RACING INCIDENT,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Master Splash,CHRISTOPHER J. ENGLEHART,JOHN R. DAVILA,Master Splash-Tr Christopher Englehart-horse took bad step-pulled up-DNF-vanned off-to be checked by vet- nothing hurt- horse turned out for R+R,Lameness
1625,2013,11/18/2013,STEWARDS/VETS LIST,Yonkers Raceway,After 1/4,Racing,Harness,Clear,Leaveumlady,CASIE J. COLEMAN,GEORGE J. BRENNAN,Leaveumlady - Tr: Casie Coleman - pulled up - DNF - must requalify,Steward's List
1626,2013,11/17/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/4 pole/Stretch,Racing,Thoroughbred,55* Foggy,Barrell of Love,JOHN O. HERTLER,LUIS SAEZ,Barrell of Love-Tr John Hertler-eased inside-walked off track- horse unhurt didnt like slippery turf,Steward's List
1627,2013,11/17/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/4 pole-Stretch,Racing,Thoroughbred,50* Foggy,Isn'tlovejustgrand,MITCHELL E. FRIEDMAN,PABLO MORALES,Isn'tlovejustgrand-Tr Mitchell Friedman-eased inside-walked off track- horse fine - saddle slipped,Steward's List
1628,2013,11/16/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred,60* Clear,Nicholson,LEAH A. GYARMATI,MICHAEL J. LUZZI,Nicholson-Tr. Leah Gyarmati-eased up-horse ok-did not handle turf,Steward's List
1629,2013,11/16/2013,RACING INJURY,Yonkers Raceway, ,Racing,Harness, ,Meant To Be Me,DELVY S. LLOPEZ,JAMES R. PANTALEANO,Meant to Be Me-Tr. Delvy Llopez-could not finish-ambulanced off-fx LF leg-vet treated and wrapped-to Patty Haugan Clinic-in NJ for further assessment,Injury
1630,2013,11/16/2013,EQUINE DEATH,Saratoga Gaming & Raceway,Barn #19 Stall #13,Non-Racing,Harness, ,Bruise Cruise,JAY L. RANDALL, ,Bruise Cruise-Tr Jay Randall-scratched from race-feverish-vet treated with no improvement-found in distress next morning-euthanized due to poor prognosis,Euthanasia
1631,2013,11/16/2013,EQUINE DEATH,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,60* Clear,M P Joe,PETER A. CHIN,EDDIE CASTRO,M P Joe-Tr. Peter Chin-pulled up-ambulanced-xrays reveal fx RF knee-euthanized,Equine Death
1632,2013,11/14/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,38* Clear,Marywiththeblueyes,JASON SERVIS,MANUEL FRANCO,Marywiththeblueyes-Tr. Jason Servis-pulled up-ambulanced off-horse fine from incident- a little stiff in hind end - will work off for vets,Steward's List
1633,2013,11/14/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred,38* Clear,Bandit Interceptor,MICHELLE C. NEVIN,LUIS SAEZ,Bandit Interceptor-Tr. Michelle Nevin-pulled up-walked off the track- horse unhurt - rider said horse was slipping- horse will work off for vets.,Steward's List
1634,2013,11/13/2013,ACCIDENT - ON TRACK,Monticello Raceway & Mighty M Gaming,Monticello raceway,Racing,Harness,Clear,GOTTA LUV IT,HAROLD T. PURDY,RICHARD E. HARP,SAMSAWINNER-Tr. Bruce Aldrich Sr.-interfered with FAMOUS DUDE-Tr.William Parker Jr.-stumbled & interfered with GOTTA LUV IT-Tr. Harold Purdy-unseated driver & TOBELL-Tr. David Russo-unseated driver-2 drivers injured-no reported injuries to horses, 
1635,2013,11/13/2013,ACCIDENT - ON TRACK,Monticello Raceway & Mighty M Gaming,Monticello raceway,Racing,Harness,Clear,FAMOUS DUDE,WILLIAM L. PARKER JR,WILLIAM L. PARKER JR,SAMSAWINNER-Tr. Bruce Aldrich Sr.-interfered with FAMOUS DUDE-Tr.William Parker Jr.-stumbled & interfered with GOTTA LUV IT-Tr. Harold Purdy-unseated driver & TOBELL-Tr. David Russo-unseated driver-2 drivers injured-no reported injuries to horses, 
1636,2013,11/13/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,39* Clear,Brown Eyed Nance,BRAD L. BAKER,ABEL LEZCANO,Brown Eyed Nance-T. Brad L. Baker-pulled up-ambulanced off- filly unhurt must work off for vet,Steward's List
1637,2013,11/13/2013,FALL OF HORSE,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Atlantic Dream,TODD A. PLETCHER,JAVIER J. CASTELLANO,Atlantic Dream-Tr. Todd Pletcher-fell unseating rider  Javier Castellano rolling over him-taken to hospital-no reported injuries to horse, 
1638,2013,11/13/2013,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Barn K,Non-Racing,Harness, ,Docdor Chaser,RUTH A. CALCAGNI, ,Docdor Chaser-Tr. Ruth Calcagni-collapsed and died in barn-vet examined and determined it was most likely a ruptured aorta,Equine Death
1639,2013,11/13/2013,ACCIDENT - ON TRACK,Monticello Raceway & Mighty M Gaming,Monticello raceway,Racing,Harness,Clear,TOBELL,DAVID S. RUSSO,JAMES J. DEVAUX,SAMSAWINNER-Tr. Bruce Aldrich Sr.-interfered with FAMOUS DUDE-Tr.William Parker Jr.-stumbled & interfered with GOTTA LUV IT-Tr. Harold Purdy-unseated driver & TOBELL-Tr. David Russo-unseated driver-2 drivers injured-no reported injuries to horses, 
1640,2013,11/13/2013,ACCIDENT - ON TRACK,Monticello Raceway & Mighty M Gaming,Monticello raceway,Racing,Harness,Clear,SAMSAWINNER,BRUCE A. ALDRICH JR,AUSTIN T. SIEGELMAN,SAMSAWINNER-Tr. Bruce Aldrich Sr.-interfered with FAMOUS DUDE-Tr.William Parker Jr.-stumbled & interfered with GOTTA LUV IT-Tr. Harold Purdy-unseated driver & TOBELL-Tr. David Russo-unseated driver-2 drivers injured-no reported injuries to horses, 
1641,2013,11/12/2013,EQUINE DEATH,Belmont Park (NYRA),Belmont,Non-Racing,Thoroughbred, ,Joker, , ,Joker (Paint horse-stable pony)-Owner Jena Antonucci-severe laminitis all 4 feet-euthanized,Equine Death
1642,2013,11/10/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Space Traveler,DANNY A. GARGAN,JOEL ROSARIO,Space Traveler-Tr Danny Gargan-pulled up-vanned off- horse unhurt- squeezed during the race  jockey pulled him up.,Steward's List
1643,2013,11/10/2013,EQUINE DEATH,Aqueduct Racetrack (NYRA),Finish line,Training,Thoroughbred,50* Partly Cloudy,Parcel,BOB G. DUNHAM, ,Parcel-Tr Bob Dunham-suffered fx LF sesamoids while breezing-ambulanced off-euthanized,Equine Death
1644,2013,11/08/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred,55* Partly Cloudy,Rein King,JOHN P. TERRANOVA II,IRAD ORTIZ JR,Rein King-Tr John Terranova-eased inside-walked off track-hores unhurt - trainer says horse dehydrated- horse to work off vets list,Steward's List
1645,2013,11/08/2013,ACCIDENT - TAGGED SULKY,Vernon Downs,3/8 marker,Racing,Harness,Clear & Cold,Prince Pendant,KELLY A. HASTINGS,BRIAN K. MATTISON,Prince Pendant-Tr Kelly Hastings-Driver Brian Mattison-pulled out-ran into wheel of another sulky causing horse to fall-Driver refused medical attention-horse being checked-Hastings sulky tagged-no injury to horse reported, 
1646,2013,11/07/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,Cloudy/rain,She's a Listener,JACQUELINE L. STAUFFER,OSCAR D. GOMEZ,She's a Listener-Tr. J. Stauffer-fell unseating rider-fx LF leg/cannon bone-euthanized,Equine Death
1647,2013,11/07/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred, ,Bringingdown Babel,DANNY A. GARGAN,LUIS SAEZ,Bringingdown Bable-Tr. Danny Gargan-pulled up-vanned off-mare rebowed an old bow-will be retired, 
1648,2013,11/07/2013,RACING INJURY,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,Cloudy/rain,Grand Treasure,CHRISTOPHER J. PROGNO,RODOLFO IGNACIO,Grand Treasure-Tr. C. Progno-horse flipped-sustained LR cuts/abrasions/scrapes-Jockey R. Ignacio to Strong Memorial Hospital,Injury
1649,2013,11/07/2013,EQUINE DEATH,Belmont Park (NYRA),1/8 pole Training Track,Training,Thoroughbred,55* Cloudy,Witchofwallstreet,HARRY A. JERKENS, ,Witchofwallstreet-Tr. H. Allen Jerkens-suffered fx L Tibia while galloping-euthanized on track,Equine Death
1650,2013,11/06/2013,FALL OF HORSE,Aqueduct Racetrack (NYRA),Starting Gate,Racing,Thoroughbred, ,Hidden Warrior,LINDA L. RICE,JOSE L. ORTIZ,Hidden Warrior-Tr. Linda Rice-flipped in gate unseating rider-scratched-no injuries reported, 
1651,2013,11/06/2013,FALL OF RIDER,Aqueduct Racetrack (NYRA),Starting Gate,Racing,Thoroughbred, ,Native Singer,GARY P. GULLO,RAJIV C. MARAGH,Native Singer-Tr. Gary Gullo-reared before going into starting gate-unseating  rider Rajiv Maragh-scratched-no injuries reported, 
1652,2013,11/06/2013,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred,59* Partly Cloudy,Miss McKeown,RICHARD M. DEMOLA,PHILLIP A. TEATOR,Miss Mckeown-Trainer Richard DeMola-unseated rider at 3/8-suffered fx RF sesamoids-euthanized on track,Equine Death
1653,2013,11/03/2013,RACING INCIDENT,Aqueduct Racetrack (NYRA),1/16 pole,Racing,Thoroughbred,55 * Clear,Tiznowforamerica,THOMAS ALBERTRANI,IRAD ORTIZ JR,Tiznowforamerica-Tr.Thomas Albertrani- while tiring checked stride & hit inner rail-eased to wire-walked off track- horese unhurt trainer stated hurse was pushed into the rail, 
1654,2013,11/03/2013,RACING INCIDENT,Aqueduct Racetrack (NYRA),Start,Racing,Thoroughbred,50* Clear,Believeinfaith,DOMINIC G. GALLUSCIO,LUIS SAEZ,Believeinfaith-Tr. Dominick Galluscio-broke sharply to outside-caused chain reaction-pulled up-walked off track-no injuries preported, 
1655,2013,11/03/2013,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),Starting Gate,Racing,Thoroughbred, ,Sinistra,KARL M. GRUSMARK,MICHAEL J. LUZZI,Sinistra-Tr. Karl Grusmark-flipped in gate unseating  jockey-scratched-walk off track-, 
1656,2013,11/02/2013,RACING INCIDENT,Aqueduct Racetrack (NYRA),Start,Racing,Thoroughbred,60* Clear,Sunrise Lover,EDUARDO E. JONES,ANGEL S. SAEZ-ARROYO,Sunrise Lover-Tr. Eduardo Jones-stumbled leaving gate breaking reins-pulled up-no injuries reported, 
1657,2013,11/02/2013,FALL OF RIDER,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred,60* Clear,Bird E House,MICHAEL G. MAREINA,EMMANUEL ESQUIVEL,Bird E. House-Tr. Michael Mareina-unseated rider after clipping heels of horse Xixixi-Rider Emmanuel Esquivel treated & released-no other injuries reported, 
1658,2013,10/30/2013,EQUINE DEATH,Aqueduct Racetrack (NYRA),Main Track,Training,Thoroughbred,55* Clear,Unnamed(Madam Loganza),LEON J. BLUSIEWICZ, ,Unnamed 2 y/o out of (Madam Loganza)-Tr. Leon Blusewicw-suffered fx L shoulder while galloping-euthanized in necropsy area, 
1659,2013,10/28/2013,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,3/4 pole,Racing,Harness,Clear,LIGHTNING MADISON,VERNON C. JAMES,ALAN S. SCHWARTZ,Lightning Madison-Tr. Vernon James-pulled up-did not finish - bled --must requalify,Steward's List
1660,2013,10/28/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/16 POLE,Racing,Thoroughbred, ,Mr. Rabbits,JAMES S. ACQUILANO,GABRIEL J. SUAREZ,Mr. Rabbits-Tr. James Acquilano-pulled up-severe RF lameness  limb instability  and hyperextension-multiple fragments felt-poor prognosis-euthanized-2181319,Equine Death
1661,2013,10/26/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,Magestik Tomahawk,JAMES S. ACQUILANO,MICHAEL A. DAVILA JR,Magestik Tomahawk-Tr. James Acquilano-fx LF fetlock-euthanized-2181393,Equine Death
1662,2013,10/26/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,5/16 pole,Racing,Thoroughbred, ,Irish Lady,CHRISTOPHER J. ENGLEHART,JOHN R. DAVILA,Irish Lady-Tr. Chris Englehart-faltered unseating rider-open fx bilateral sesamoids and ruptured suspensory-sedated then euthanized on track-2181484,Equine Death
1663,2013,10/26/2013,EQUINE DEATH,Belmont Park (NYRA),Pony Track,Training,Thoroughbred,45* Clear,Hewitts,GARY C. CONTESSA, ,Hewitts-Tr. Gary Contessa-unseated exercise rider-ran into stationary object-suffered fx R femur-euthanized,Equine Death
1664,2013,10/26/2013,EQUINE DEATH,Belmont Park (NYRA),1/4 pole-main track,Training,Thoroughbred,45* Clear,Poppo,CHAD C. BROWN, ,Poppo-Tr. Chad Brown-suffered fx RF sesamoids while breezing-euthanized on track,Equine Death
1665,2013,10/26/2013,EQUINE DEATH,Belmont Park (NYRA),1/8 pole Main Track,Training,Thoroughbred,45* Clear,Pole Cat,DOMINICK L. SCHETTINO, ,Pole Cat-Tr. Dominick Schettino-ambulanced off-xrays revealed fx LF sesamoids-euthanized,Equine Death
1666,2013,10/26/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Finish line,Racing,Thoroughbred,51* Clear,Sand Paper,PATRICK J. KELLY,MICHAEL J. LUZZI,Sand Paper-Trainer Patrick Kelly-being eased-ducked out sharply-unseating rider Michael Luzzi-no injuries reported,Accident
1667,2013,10/26/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After the wire,Racing,Thoroughbred, ,My Cousin Eddie,AMBER R. COBB,JAIME RODRIGUEZ,My Cousin Eddie-Tr. Amber Cobb-ambulanced off-suffer fx L carpal bones-euthanized-218191,Equine Death
1668,2013,10/25/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,51* Partly Cloudy,Margin of Victory,KARL M. GRUSMARK,MICHAEL J. LUZZI,Margin of Victory-Tr. Karl Grusmark-eased up-walked off track-no injuries reported, 
1669,2013,10/25/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,51* Partly Cloudy,Wildcat Thunder,PEDRO J. GRANVILLE,MELVIN L. PEREZ,Wildcat Thunder-Trainer Pedro Granville-eased up-walked off-,Steward's List
1670,2013,10/25/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,51* Partly Cloudy,Private Councel,GABRIEL K. GOODWIN,GUILLERMO RODRIGUEZ,Private Councel-Trainer Gabriel Goodwin-eased up-walk off track-no injuries reported, 
1671,2013,10/24/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Top of Stretch,Racing,Thoroughbred,58* Partly Cloudy,Promise Me a Cat,CARLOS F. MARTIN,JAVIER J. CASTELLANO,Promise Ma A Cat-Tr. Carlos Martin-eased up-no injuries reported-to be retired,Steward's List
1672,2013,10/23/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,58* Clear,Patriot's Jewel,PEDRO J. GRANVILLE,MAYLAN L. STUDART,Patriot's Jewel-Trainer Pedro Granville-pulled up-ambulanced off-no injuries reported,Steward's List
1673,2013,10/23/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,58* Cloudy,Star of Sarava,BRUCE N. LEVINE,JOSE LEZCANO,Star of Sarava-Trainer Bruce Levine-eased in stretch-walk off track-no injuries reported,Steward's List
1674,2013,10/23/2013,RACING INCIDENT,Saratoga Gaming & Raceway, ,Racing,Harness,Clear,TJ Lil Winner,THOMAS T. CARTER, ,TJ Lil Winner-Tr. Thomas Carter-removed from track by mistake-did not get back in time for race-scratched from 1st race, 
1675,2013,10/20/2013,FALL OF RIDER,Belmont Park (NYRA),Start,Racing,Thoroughbred,66* partly cloudy,Master Jordan,ESKEI E. BEECH,GUILLERMO RODRIGUEZ,Master Jordan-Trainer Eskei Beech-stumbled leaving gate unseating rider Guillernmo Rodriguez-no injureis reported, 
1676,2013,10/20/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,66* Partly Cloudy, ,EDWARD J. KENNEALLY,JOSE LEZCANO,Never the End -Trainer Eddie Kenneally-eased up-walked off track-no injuries reported-must requalify,Steward's List
1677,2013,10/20/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Belmont R/T,Racing,Thoroughbred,Clear,Uman Candy,JAMES H. ISELIN,MANUEL FRANCO,Transplendid-Tr. Philip Serpe-goes down; Uman Candy-Tr. James Iselin-goes over top-jockeys are fine-horses vanned off-very minor injuries reported, 
1678,2013,10/20/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Belmont R/T,Racing,Thoroughbred,Clear,Transplendid,PHILIP M. SERPE,LUIS SAEZ,Transplendid-Tr. Philip Serpe-goes down; Uman Candy-Tr. James Iselin-goes over top-jockeys are fine-horses vanned off-very minor injuries reported, 
1679,2013,10/20/2013,FALL OF RIDER,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,66* Partly cloudy,Poliziano,DAVID JACOBSON,EMMANUEL ESQUIVEL,Poliziano-Trainer D. Jacobson-unseated rider after clipping heels-no injuries reported, 
1680,2013,10/19/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred, ,Let the Kitten Run,ROBERT A. BARBARA,JORGE A. VARGAS JR,Let the Kitten Run-Tr. Robert Barbara-eased up-lost L shoe-must requalify,Steward's List
1681,2013,10/19/2013,FALL OF RIDER,Finger Lakes Gaming & Racetrack,After finish,Racing,Thoroughbred, ,First Dine,ORTIS N. HENRY,GUARIONEX RIVERA,First Dine-Tr. Ortis Henry-lost rider Guarionex Rivera-transported to local hospital-no injury to horse, 
1682,2013,10/18/2013,FALL OF HORSE,Belmont Park (NYRA),track entrance,Racing,Thoroughbred,66* Clear,Hyman Roth,MICHAEL E. HUSHION,JOSE L. ORTIZ,Hyman Roth-Tr. Michael Hushion-reared up and fell entering track-scratched by NYRA vet-minor scratches to horse-no injury to rider, 
1683,2013,10/18/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,66* Clear,Tantaliza,YVON G. BELSOEUR,JOSE LEZCANO,Tantaliza-Tr. Yvon Belsoeur-eased up-horse fine-no injuries reported,Steward's List
1684,2013,10/18/2013,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,68* Clear,Formulaforsuccess,RODOLFO (RUDY) RODRIGUEZ,JOEL ROSARIO,Formulaforsuccess-Trainer Rudy Rodriguez-pulled up-went over inside rail- died from suspected cardiovascular collapse-no reported injury to the rider,Equine Death
